,company,company_url,screener url
0,RELIANCE,/company/RELIANCE/consolidated/,https://www.screener.in/company/RELIANCE/consolidated/
1,TCS,/company/TCS/consolidated/,https://www.screener.in/company/TCS/consolidated/
2,HDFCBANK,/company/HDFCBANK/consolidated/,https://www.screener.in/company/HDFCBANK/consolidated/
3,ICICIBANK,/company/ICICIBANK/consolidated/,https://www.screener.in/company/ICICIBANK/consolidated/
4,HINDUNILVR,/company/HINDUNILVR/consolidated/,https://www.screener.in/company/HINDUNILVR/consolidated/
5,ITC,/company/ITC/consolidated/,https://www.screener.in/company/ITC/consolidated/
6,INFY,/company/INFY/consolidated/,https://www.screener.in/company/INFY/consolidated/
7,SBIN,/company/SBIN/consolidated/,https://www.screener.in/company/SBIN/consolidated/
8,HDFC,/company/HDFC/consolidated/,https://www.screener.in/company/HDFC/consolidated/
9,BHARTIARTL,/company/BHARTIARTL/consolidated/,https://www.screener.in/company/BHARTIARTL/consolidated/
10,BAJFINANCE,/company/BAJFINANCE/consolidated/,https://www.screener.in/company/BAJFINANCE/consolidated/
11,LICI,/company/LICI/,https://www.screener.in/company/LICI/
12,KOTAKBANK,/company/KOTAKBANK/consolidated/,https://www.screener.in/company/KOTAKBANK/consolidated/
13,LT,/company/LT/consolidated/,https://www.screener.in/company/LT/consolidated/
14,ASIANPAINT,/company/ASIANPAINT/consolidated/,https://www.screener.in/company/ASIANPAINT/consolidated/
15,HCLTECH,/company/HCLTECH/consolidated/,https://www.screener.in/company/HCLTECH/consolidated/
16,AXISBANK,/company/AXISBANK/consolidated/,https://www.screener.in/company/AXISBANK/consolidated/
17,MARUTI,/company/MARUTI/consolidated/,https://www.screener.in/company/MARUTI/consolidated/
18,ADANIENT,/company/ADANIENT/consolidated/,https://www.screener.in/company/ADANIENT/consolidated/
19,TITAN,/company/TITAN/consolidated/,https://www.screener.in/company/TITAN/consolidated/
20,DMART,/company/DMART/consolidated/,https://www.screener.in/company/DMART/consolidated/
21,BAJAJFINSV,/company/BAJAJFINSV/consolidated/,https://www.screener.in/company/BAJAJFINSV/consolidated/
22,SUNPHARMA,/company/SUNPHARMA/consolidated/,https://www.screener.in/company/SUNPHARMA/consolidated/
23,ULTRACEMCO,/company/ULTRACEMCO/consolidated/,https://www.screener.in/company/ULTRACEMCO/consolidated/
24,NESTLEIND,/company/NESTLEIND/,https://www.screener.in/company/NESTLEIND/
25,WIPRO,/company/WIPRO/consolidated/,https://www.screener.in/company/WIPRO/consolidated/
26,TATAMOTORS,/company/TATAMOTORS/consolidated/,https://www.screener.in/company/TATAMOTORS/consolidated/
